code,name,name_en,full_name,full_name_en,code_name,province_code,administrative_unit_id
02302,Minh Quang,Minh Quang,Xã Minh Quang,Minh Quang Commune,minh_quang,08,10
02305,Trung Hà,Trung Ha,Xã Trung Hà,Trung Ha Commune,trung_ha,08,10
02308,Tân Mỹ,Tan My,Xã Tân Mỹ,Tan My Commune,tan_my,08,10
02317,Yên Lập,Yen Lap,Xã Yên Lập,Yen Lap Commune,yen_lap,08,10
02320,Tân An,Tan An,Xã Tân An,Tan An Commune,tan_an,08,10
02332,Kiên Đài,Kien ai,Xã Kiên Đài,Kien ai Commune,kien_ai,08,10
02350,Kim Bình,Kim Binh,Xã Kim Bình,Kim Binh Commune,kim_binh,08,10
02353,Hoà An,Hoa An,Xã Hoà An,Hoa An Commune,hoa_an,08,10
02359,Tri Phú,Tri Phu,Xã Tri Phú,Tri Phu Commune,tri_phu,08,10
02365,Yên Nguyên,Yen Nguyen,Xã Yên Nguyên,Yen Nguyen Commune,yen_nguyen,08,10
02374,Hàm Yên,Ham Yen,Xã Hàm Yên,Ham Yen Commune,ham_yen,08,10
02380,Bạch Xa,Bach Xa,Xã Bạch Xa,Bach Xa Commune,bach_xa,08,10
02392,Phù Lưu,Phu Luu,Xã Phù Lưu,Phu Luu Commune,phu_luu,08,10
02398,Yên Phú,Yen Phu,Xã Yên Phú,Yen Phu Commune,yen_phu,08,10
02404,Bình Xa,Binh Xa,Xã Bình Xa,Binh Xa Commune,binh_xa,08,10
02407,Thái Sơn,Thai Son,Xã Thái Sơn,Thai Son Commune,thai_son,08,10
02419,Thái Hoà,Thai Hoa,Xã Thái Hoà,Thai Hoa Commune,thai_hoa,08,10
02425,Hùng Đức,Hung uc,Xã Hùng Đức,Hung uc Commune,hung_uc,08,10
02434,Lực Hành,Luc Hanh,Xã Lực Hành,Luc Hanh Commune,luc_hanh,08,10
02437,Kiến Thiết,Kien Thiet,Xã Kiến Thiết,Kien Thiet Commune,kien_thiet,08,10
02449,Xuân Vân,Xuan Van,Xã Xuân Vân,Xuan Van Commune,xuan_van,08,10
02455,Hùng Lợi,Hung Loi,Xã Hùng Lợi,Hung Loi Commune,hung_loi,08,10
02458,Trung Sơn,Trung Son,Xã Trung Sơn,Trung Son Commune,trung_son,08,10
02470,Tân Long,Tan Long,Xã Tân Long,Tan Long Commune,tan_long,08,10
02473,Yên Sơn,Yen Son,Xã Yên Sơn,Yen Son Commune,yen_son,08,10
02494,Thái Bình,Thai Binh,Xã Thái Bình,Thai Binh Commune,thai_binh,08,10
02509,Mỹ Lâm,My Lam,Phường Mỹ Lâm,My Lam Ward,my_lam,08,8
